name,subtype,address,tel,coordinate,latitude,longitude,url_official
Hospital Ampang,General Hospital,"Jalan Mewah Utara, Taman Pandan Mewah, 68000 Ampang, Selangor",03-42896000,"3.129074271635653, 101.76345046955092",3.129074272,101.7634505,http://hampg.moh.gov.my
Hospital Banting,General Hospital,"Jalan Sultan Alam Shah, 42700 Banting, Selangor",03-31871333,"2.8029233097006827, 101.49376351822603",2.80292331,101.4937635,https://jknselangor.moh.gov.my/hbanting/
Hospital Kajang,General Hospital,"Jalan Semenyih, Bandar Kajang, 43000 Kajang, Selangor",03-89133333,"2.9931321378088134, 101.79283506838564",2.993132138,101.7928351,http://hkjg.moh.gov.my/
Hospital Kuala Kubu Bharu,General Hospital,"Jalan Hospital, Pekan Kuala Kubu Bharu, 44000 Kuala Kubu Baru, Selangor",03-60641333,"3.5644453661423516, 101.6530586548904",3.564445366,101.6530587,https://jknselangor.moh.gov.my/hkkb/
Hospital Kuala Lumpur,General Hospital,"Jalan Pahang, 50586 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",03-26155555,"3.1718054055442515, 101.70257576171394",3.171805406,101.7025758,http://hkl.moh.gov.my/
Hospital Orang Asli,General Hospital,"KM 24, Jalan Pahang Lama, 53100 Gombak, Selangor",03-61892122,"3.292185919303479, 101.73101421256132",3.292185919,101.7310142,https://jknselangor.moh.gov.my/hoag/
Hospital Putrajaya,General Hospital,"Jalan P9, Presint 7, 62250 Putrajaya, Wilayah Persekutuan Putrajaya",03-83124200,"2.929192189696647, 101.67414195304478",2.92919219,101.674142,http://hpj.moh.gov.my/
Hospital Rehabilitasi Cheras,General Hospital,"Jalan Yaacob Latif, Bandar Tun Razak, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",03-91453400,"3.1068284713012844, 101.72810059906739",3.106828471,101.7281006,https://hrc.moh.gov.my/
Hospital Selayang,General Hospital,"Hospital Selayang, Lebuhraya Selayang - Kepong, 68100 Batu Caves, Selangor",03-61203233,"3.2424667716544033, 101.64627589722039",3.242466772,101.6462759,http://hselayang.moh.gov.my
Hospital Serdang,General Hospital,"Jalan Puchong, 43000 Kajang, Selangor",03-89475555,"2.976774318482779, 101.72001791838566",2.976774318,101.7200179,http://hserdang.moh.gov.my
Hospital Shah Alam,General Hospital,"Persiaran Kayangan, Seksyen 7, 40000 Shah Alam, Selangor",03-5526 3000,"3.07148611169875, 101.48988633770358",3.071486112,101.4898863,https://hsas.moh.gov.my/
Hospital Sungai Buloh,General Hospital,"Jalan Hospital, 47000 Sungai Buloh, Selangor",03-61454333,"3.221250315319195, 101.58262801842004",3.221250315,101.582628,http://hsgbuloh.moh.gov.my
Hospital Tanjung Karang,General Hospital,"KM8, Jalan Sungai Terap 5, 45500 Tanjong Karang, Selangor",03-32698333,"3.3961164640955377, 101.21761707241765",3.396116464,101.2176171,https://jknselangor.moh.gov.my/htgkarang/
Hospital Tengku Ampuan Jemaah,General Hospital,"Jalan Hospital, 45200 Sabak, Selangor",03-32163333,"3.7592574767481586, 100.98929476838441",3.759257477,100.9892948,http://htaj.moh.gov.my
Hospital Tengku Ampuan Rahimah,General Hospital,"Jalan Langat,41200 Klang Klang, Selangor",03-33757000,"3.023755675909628, 101.43846550534427",3.023755676,101.4384655,http://htar.moh.gov.my
Hospital Tunku Azizah (Wanita Dan Kanak-Kanak),General Hospital,"Lot 25, Jalan Raja Muda Abdul Aziz, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",03-26003000,"3.170141432767495, 101.70285991256152",3.170141433,101.7028599,http://hkl.moh.gov.my/index.php/institusi/hospital-tunku-azizah-hta
Institut Perubatan Respiratori,Specialist Hospital,"Jalan Pahang, Pekeliling, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",03-40232966,"3.1756944316684326, 101.69918883770333",3.175694432,101.6991888,https://www.moh.gov.my/index.php/pages/view/291
Paediatric Institute Hospital Kuala Lumpur,Specialist Hospital,"Jalan Masjid Hospital, 50586 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",03-26155555,"3.169687017929858, 101.70230828465901",3.169687018,101.7023083,
Pusat Kawalan Kusta Negara Hospital Sungai Buloh,General Hospital,"Jalan Hospital, 47000 Sungai Buloh, Selangor",03-61561321,"3.222783734141906, 101.5840936548909",3.222783734,101.5840937,https://jknselangor.moh.gov.my/hsgbuloh/ms/jabatan/pusat-kawalan-kusta-negara/pusat-kawalan-kusta-negara-pkkn.html
UM Specialist Centre (UMSC),Specialist Hospital,"UMSC, Lot 28, Lorong Universiti, Lembah Pantai, 50603 Kuala Lumpur",03-78414000,"3.116431237235977, 101.65069424216433",3.116431237,101.6506942,https://umsc.my/
University Malaya Medical Centre,Specialist Hospital,"Jln Profesor Diraja Ungku Aziz, Seksyen 13, 50603 Petaling Jaya, Selangor",03-79494422,"3.1129388034622703, 101.65177785471322",3.112938803,101.6517779,https://www.ummc.edu.my/
UKM Specialist Centre (UKMSC),Specialist Hospital,"Jalan Yaacob Latif Level 7 HCTM UKM, Bandar Tun Razak, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",03-91749222,"3.098401733634693, 101.7261108375924",3.098401734,101.7261108,http://www.ukmsc.com.my/
Hospital Cyberjaya,General Hospital,"Persiaran Multimedia, Cyber 11, 63000 Cyberjaya, Selangor",03-83124200,"2.9200580298109418, 101.63073391590311",2.92005803,101.6307339,
